,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,14,0.4534920387667001,0.6428571428571429
ABNB,,,,
ADBE,5243,16,3.3722958416909994,0.75
ADI,5243,16,3.0535579697210906,0.75
ADP,5243,21,3.197969608593595,0.8571428571428571
ADSK,5243,19,2.5110214889641176,0.7894736842105263
AEP,5243,17,0.5730757049733524,0.7058823529411765
ALGN,4972,19,1.6884875946618956,0.7368421052631579
AMAT,5243,13,0.15115988238263062,0.5384615384615384
AMD,5233,21,-0.29963203453117876,0.6190476190476191
AMGN,5243,21,5.181992109751378,0.8095238095238095
AMZN,5243,18,1.4863472801958741,0.8333333333333334
ANSS,5233,17,16.332732675419923,0.8823529411764706
ASML,5243,15,1.1148931383314948,0.7333333333333333
ATVI,5243,14,2.5866294167759865,0.8571428571428571
AVGO,2831,10,5.348404162815264,1.0
BIDU,3838,14,1.8984376600170698,0.7142857142857143
BIIB,5222,15,1.7308506345764199,0.8
BKNG,5243,23,-0.5591442544584267,0.6956521739130435
CDNS,5243,17,1.206798326138149,0.8235294117647058
CHTR,2602,11,4.006262164717568,1.0
CMCSA,5243,12,0.2688293737068356,0.5833333333333334
COST,5243,16,4.42188659621205,0.875
CPRT,5243,21,4.769991213685964,0.8095238095238095
CRWD,353,2,0.6860811379025651,1.0
CSCO,5243,17,-0.15938720020317532,0.7647058823529411
CSX,5243,18,5.665182016531974,0.8888888888888888
CTAS,5243,19,5.159773293413823,0.8421052631578947
CTSH,5243,18,9.497340929267457,0.8888888888888888
DDOG,284,1,0.34894270647136333,1.0
DLTR,5243,19,3.326543224002191,0.7368421052631579
DOCU,635,2,0.3847203248736863,1.0
DXCM,3907,15,2.889454911535336,0.6666666666666666
EA,5243,21,5.811421737459555,0.8095238095238095
EBAY,5243,19,13.139984911228675,0.7368421052631579
EXC,5243,18,0.38795428746768434,0.6666666666666666
FAST,5243,23,22.90466679394892,0.8695652173913043
FTNT,2758,10,1.7993776340320244,0.8
GILD,5222,13,3.469581620559004,0.7692307692307693
GOOG,4081,15,2.7730405475649045,0.8666666666666667
GOOGL,4081,15,2.4537709176359503,0.8666666666666667
HON,5243,19,3.3327489730784063,0.7894736842105263
IDXX,5243,15,5.388989826733924,0.8666666666666667
ILMN,5099,20,0.10507322550743003,0.7
INTC,5243,22,0.15662863436655095,0.6818181818181818
INTU,5243,16,9.222609459848039,0.9375
ISRG,5128,20,11.005483366524174,0.85
JD,1625,7,1.2610675915110623,0.8571428571428571
KDP,3146,11,1.5968169368632394,0.9090909090909091
KHC,1344,2,-0.5480736018140326,0.5
KLAC,5243,16,2.6254355411174686,0.875
LCID,,,,
LRCX,5243,13,0.8986831090966875,0.6153846153846154
LULU,3342,12,0.18045941604580032,0.8333333333333334
MAR,5243,17,0.30403747372344764,0.6470588235294118
MCHP,5243,17,10.22983723344343,0.8235294117647058
MDLZ,4879,16,1.0633618968710659,0.75
MELI,3332,14,5.515144908174756,0.7857142857142857
MNST,4709,15,3.513198321662197,0.8666666666666667
MRNA,480,2,0.5602461201353077,0.5
MRVL,5118,17,2.845409128968385,0.5882352941176471
MSFT,5243,19,3.4542919749567185,0.8421052631578947
MTCH,5243,18,1.485982462151336,0.7222222222222222
MU,5243,15,-0.8580024084006351,0.4
NFLX,4645,16,0.7307795846072264,0.6875
NTES,4889,20,11.004962160250164,0.75
NVDA,5243,19,0.9148885005870622,0.6842105263157895
NXPI,2579,9,1.587152175424634,0.7777777777777778
ODFL,4697,13,7.9318082115757464,0.9230769230769231
OKTA,900,3,1.6442295374809028,1.0
ORLY,5243,15,3.010399906909767,0.7333333333333333
PANW,2086,10,2.005023737284724,0.9
PAYX,5243,22,2.2853772055040746,0.8181818181818182
PCAR,5243,18,3.2706728442938346,0.8333333333333334
PDD,573,2,1.1162231768510416,1.0
PEP,5243,20,3.6805223379266363,0.85
PYPL,1344,3,0.7619363609839173,1.0
QCOM,5243,21,2.7681818153928117,0.8095238095238095
REGN,5233,21,7.915179463095794,0.7142857142857143
ROST,5243,14,3.5517778555912805,0.8571428571428571
SBUX,5243,18,2.323103554481323,0.8333333333333334
SGEN,4935,20,14.784273702748777,0.95
SIRI,5217,17,-0.9694843564008337,0.5882352941176471
SNPS,5243,18,3.4694276537299706,0.9444444444444444
SPLK,2150,10,3.6997489643106833,0.8
SWKS,5243,15,-0.43148699496700205,0.5333333333333333
TEAM,1234,3,0.7924708350494141,1.0
TMUS,3411,9,0.07836888967204117,0.5555555555555556
TSLA,2606,10,9.062931153761998,0.9
TXN,5243,17,0.9901496348887351,0.7647058823529411
VRSK,2788,12,3.2780574623171073,1.0
VRSN,5243,18,-0.38193568218242435,0.7777777777777778
VRTX,5223,18,2.4593624195410566,0.5555555555555556
WBA,5243,16,-0.02473499744502001,0.625
WDAY,2027,7,1.1368378781210124,0.7142857142857143
XEL,5233,19,1.0595795418763725,0.8421052631578947
ZM,390,1,0.11455819404232083,1.0
ZS,664,2,0.9436885398008243,0.5
